[filetype:logbook]
Timestamp;Log level;Log message
2024-11-08 14:12:07;USER;Re-owned sensor url rest_tcp://https/192.168.42.10:443 restTcp set terminalId to 21153620,
2024-11-08 14:12:28;CRITICAL;GSM_GetNetworkInfo failed with error code 16, SMSHandler restarted
2024-11-08 14:12:28;SYSTEM;Could not retrieve modem status
2024-11-08 14:12:28;CRITICAL;GSM_GetNetworkInfo failed with error code 16 after SMSHandler restart
2024-11-08 14:13:13;SYSTEM;Measurement suspended.
2024-11-08 14:17:14;SYSTEM;stopping watchdog service
2024-11-08 14:19:14;SYSTEM;Writing initial configuration
2024-11-08 14:19:14;SYSTEM;NetworkHandler initialized
2024-11-08 14:19:14;SYSTEM;[Init] Network Handler
2024-11-08 14:19:28;SYSTEM;[Init] Display Handler
2024-11-08 14:19:28;SYSTEM;[Init] SMS Handler
2024-11-08 14:19:28;SYSTEM;[Init] Modem Handler
2024-11-08 14:19:28;SYSTEM;[Init] Wifi Handler
2024-11-08 14:19:36;SYSTEM;starting watchdog service
2024-11-08 14:19:36;SYSTEM;starting watchdog service
2024-11-08 14:19:36;SYSTEM;s::can watchdog service started.
2024-11-08 14:19:37;SYSTEM;starting training service
2024-11-08 14:19:37;SYSTEM;estimated disk life time of storage disk: eMMC Firmware Version: 73103517%P
eMMC Life Time Estimation A [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_A]: 0x01
eMMC Life Time Estimation B [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_B]: 0x01
eMMC Pre EOL information [EXT_CSD_PRE_EOL_INFO]: 0x01
2024-11-08 14:19:37;SYSTEM;s::can training service started.
2024-11-08 14:19:38;SYSTEM;s::can soap service started.
2024-11-08 14:19:38;SYSTEM;Measurement resumed.
2024-11-08 14:19:49;SYSTEM;s::can scada service started with Version 4.7.4-131-g98c0ccdd.
2024-11-08 14:19:51;SYSTEM;serialNo= 3231313533363230 (21153620).
2024-11-08 14:19:51;SYSTEM;Model= D-330.
2024-11-08 14:19:56;SYSTEM;[Init] Firewall Handler
2024-11-08 14:19:56;SYSTEM;[Init] VPN Handler
2024-11-08 14:19:56;SYSTEM;starting OpenVPN instance for profile OpenVPN_30000
2024-11-08 14:19:59;SYSTEM;VNC Service is now Disabled
2024-11-08 14:19:59;SYSTEM;Entering SOAP Listener loop
2024-11-08 14:20:27;SYSTEM;UpdateStationThread(): Thread stopped.
