[filetype:logbook]
Timestamp;Log level;Log message
2024-10-18 10:56:32;SYSTEM;Measurement suspended.
2024-10-18 11:04:19;SYSTEM;Writing initial configuration
2024-10-18 11:04:19;SYSTEM;NetworkHandler initialized
2024-10-18 11:04:19;SYSTEM;[Init] Network Handler
2024-10-18 11:04:33;SYSTEM;[Init] SMS Handler
2024-10-18 11:04:33;SYSTEM;[Init] Modem Handler
2024-10-18 11:04:33;SYSTEM;[Init] Display Handler
2024-10-18 11:04:33;SYSTEM;[Init] Wifi Handler
2024-10-18 11:04:41;SYSTEM;starting watchdog service
2024-10-18 11:04:41;SYSTEM;starting watchdog service
2024-10-18 11:04:41;SYSTEM;s::can watchdog service started.
2024-10-18 11:04:41;SYSTEM;estimated disk life time of storage disk: eMMC Firmware Version: 73103517%P
eMMC Life Time Estimation A [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_A]: 0x01
eMMC Life Time Estimation B [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_B]: 0x01
eMMC Pre EOL information [EXT_CSD_PRE_EOL_INFO]: 0x01
2024-10-18 11:04:42;SYSTEM;s::can training service started.
2024-10-18 11:04:42;SYSTEM;starting training service
2024-10-18 11:04:43;SYSTEM;s::can soap service started.
2024-10-18 11:04:43;SYSTEM;Measurement resumed.
2024-10-18 11:04:53;SYSTEM;s::can scada service started with Version 4.7.4-131-g98c0ccdd.
2024-10-18 11:04:54;CRITICAL;SCADA-Service was not cleanly shutdown during the last run.
2024-10-18 11:04:56;SYSTEM;Model= D-330.
2024-10-18 11:04:56;SYSTEM;serialNo= 3231313533363230 (21153620).
2024-10-18 11:05:01;SYSTEM;starting OpenVPN instance for profile OpenVPN_30000
2024-10-18 11:05:01;SYSTEM;[Init] VPN Handler
2024-10-18 11:05:01;SYSTEM;[Init] Firewall Handler
2024-10-18 11:05:04;SYSTEM;VNC Service is now Disabled
2024-10-18 11:05:04;SYSTEM;Entering SOAP Listener loop
2024-10-18 11:05:32;SYSTEM;UpdateStationThread(): Thread started.
2024-10-18 11:05:32;SYSTEM;UpdateStationThread(): Thread stopped.
2024-10-18 11:05:32;SYSTEM;Installed sensors:
{"display_name":"cond 22371200","internal_name":"cond 22371200","url":"modbus_rtu://4/5","sn":"22371200","version":"243590-1111 CONUM034","model":"condu::lyser"}
{"display_name":"ise 24181400","internal_name":"ise 14360002","url":"modbus_rtu://4/3","sn":"24181400","version":"0102 010M","model":"ise::lyser"}
{"display_name":"ise 20251300","internal_name":"ise 20251300","url":"modbus_rtu://4/7","sn":"20251300","version":"0102 010M","model":"ise::lyser"}
{"display_name":"oxi 11923","internal_name":"oxi 11923","url":"modbus_rtu://4/6","sn":"11923","version":"31 2","model":"oxi::lyser"}
{"display_name":"Luftdruck","internal_name":"Sensor_1","url":"constat_ai://3/17","sn":"","version":" ","model":"intern-mA-IN"}
{"display_name":"spec 23510000","internal_name":"spec 23510000","url":"modbus_rtu://1/4","sn":"23510000","version":"0100 0134","model":"spectro::lyser","detector":"uv/vis","pathlength":35.0,"pathlength_unit":"mm","global_calib":"RIV615NNV200","reference":"DIST_H2O","reference_index":"2","reference_date":"2024-10-09 10:50:00"}
{"display_name":"spec 24400210","internal_name":"spec 24400210","url":"rest_tcp://https/192.168.42.10:443","sn":"24400210","version":"4.60 3.14-4","model":"spectro::lyser V3.0","detector":"uv","pathlength":35.0,"pathlength_unit":"mm","global_calib":"GEN_UV_FINGERPRINT-60_ABS-M_SCAN_001","reference":"production_water","reference_index":"00000001","reference_date":"2024-10-17T06:32:58.262Z"}
2024-10-18 11:05:38;CRITICAL;CModbusHelper::ReadInputRegisters(): eMBMReadInputRegisters() failed (url= modbus_rtu://1/4, name= scangeneric, start= 0, n= 3, ret= MB_ETIMEDOUT).
2024-10-18 11:05:40;SYSTEM;MeasurementLoop: measure is already overdue, start cleaning after 9 seconds.
2024-10-18 11:06:05;CRITICAL;CModbusHelper::ReadInputRegisters(): eMBMReadInputRegisters() failed (url= modbus_rtu://1/4, name= scangeneric, start= 0, n= 3, ret= MB_ETIMEDOUT).
2024-10-18 11:08:05;CRITICAL;CModbusHelper::ReadInputRegisters(): eMBMReadInputRegisters() failed (url= modbus_rtu://1/4, name= scangeneric, start= 0, n= 3, ret= MB_ETIMEDOUT).
2024-10-18 11:10:04;CRITICAL;CModbusHelper::ReadInputRegisters(): eMBMReadInputRegisters() failed (url= modbus_rtu://1/4, name= scangeneric, start= 0, n= 3, ret= MB_ETIMEDOUT).
